reference,title,date,description,thumbnail,full_listing,latitude,longitude,subject_type,province,additional_url,location_check,location_notes,image_notes
BL/CV/TP/Cork/1,Bantry Bay,[1841-3],"View overlooking Bantry Bay, the town and surrounding area. In the foreground, a soldier converses with a woman and girl beneath a tree, with two other soldiers further down the hill.",,https://libguides.ucc.ie/ld.php?content_id=32664358#page=3,51.686475,-9.453109,landscape,Munster,,approximate,Location: Bantry Town,
BL/CV/TP/Cork/2,Cataract of the Bantry River in Ireland,1 September 1799,"View of the falls of the Ouvane river at Bantry, including the surrounding hills and adjoining mill. There are two riders on horseback in the river beneath the falls.",,https://libguides.ucc.ie/ld.php?content_id=32664358#page=3,51.723293,-9.440103,landscape,Munster,,approximate,Location: Ouvane Falls Inn,scan available
BL/CV/TP/Cork/3,"Bear Forest, Cork",1 August 1821,"Image of the house at Bear Forest, [Mallow], County Cork. A well dressed woman holding an umbrella walks the path towards the front of the house. Two other people are next to the conservatory on the left-hand side of the house.",,https://libguides.ucc.ie/ld.php?content_id=32664358#page=3,52.129441,-8.63761,building,Munster,,exact,Location: Entrance to estate,
BL/CV/TP/Cork/4,"Black Rock Castle, Cork",[1841-3],"View of Blackrock Castle on the bank of the River Lee. The castle occupies the right-hand side of the image, with sailing boats and a bouy on the river to the left. In the foreground, a man rows a small boat carrying three passengers and personal effects.",,https://libguides.ucc.ie/ld.php?content_id=32664358#page=3,51.900296,-8.404084,building,Munster,,approximate,Location: Based on view,scan available
BL/CV/TP/Cork/5,Black Rock Castle near Cork,[n.d.],View of Blackrock Castle on the bank of the River Lee. A steam boat and several sailing boats are on the river which occupies the left-hand side of the image. In the foreground two men are fishing in a rowing boat.,,https://libguides.ucc.ie/ld.php?content_id=32664358#page=3,51.900501,-8.404964,building,Munster,,approximate,Location: Based on view,
BL/CV/TP/Cork/6,Blackrock Castle–River Lee,[n.d.],"Image of Blackrock Castle on the bank of the River Lee, with a sailing boat next to the castle on the right-hand side of the image and a rowing boat with a canopy passing in the foreground.",,https://libguides.ucc.ie/ld.php?content_id=32664358#page=3,51.901223,-8.402528,building,Munster,,approximate,Location: Based on view,
BL/CV/TP/Cork/7,Blarney Castle,1 January 1798,View of Blarney Castle from the River Martin. In the foreground two women converse near the bank of the river.,,https://libguides.ucc.ie/ld.php?content_id=32664358#page=3,51.929529,-8.57037,building,Munster,,[…],,
BL/CV/TP/Cork/8,Blarney Castle. Co. Cork,1831,"View of Blarney Castle from the River Martin. The castle emerges from the trees surrounding it, with the river and reeds occupying the lower part of the image.",,https://libguides.ucc.ie/ld.php?content_id=32664358#page=3,51.929846,-8.570928,building,Munster,,,,
BL/CV/TP/Cork/9,Blarney Castle,[n.d.],"View of Blarney Castle from the River Martin, with an angler fishing in the river in the foreground next to a series of stepping stones. Three cows occupy a field near the castle.",,https://libguides.ucc.ie/ld.php?content_id=32664358#page=3,51.929846,-8.570928,building,Munster,,,,
BL/CV/TP/Cork/10,Carricrohane Castle–River Lee,[n.d.],"Distant view of Carrigrohane Castle and the surrounding area from the River Lee. The castle is situated on a rocky cliff-edge overlooking the river on the left-hand side of the image. The river snakes through the centre of the image, with a church steeple and other buildings visible in the distance. ",,https://libguides.ucc.ie/ld.php?content_id=32664358#page=4,51.896619,-8.558913,building,Munster,,,,scan available
